               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.040314,            0.013903,            0.029451,             0.18778,             0.91667,             0.29959,             0.14341,            0.041122,           0.0070322,             0.01998,            0.004357,            0.004357,            0.004357
                  59,            0.046516,            0.014264,            0.029973,             0.52644,             0.95045,             0.64945,             0.35098,            0.020319,           0.0068469,            0.019915,            0.004258,            0.004258,            0.004258
                  60,            0.038758,            0.013909,               0.029,             0.52644,             0.95045,             0.64945,             0.35098,            0.020319,           0.0068469,            0.019915,            0.004159,            0.004159,            0.004159
                  61,            0.035807,            0.012391,            0.030234,             0.50366,             0.97222,             0.59924,             0.37617,            0.020457,           0.0067773,            0.019996,             0.00406,             0.00406,             0.00406
                  62,            0.036951,            0.012278,            0.030066,             0.25249,             0.94949,             0.37841,             0.17446,            0.026366,           0.0067607,            0.019786,            0.003961,            0.003961,            0.003961
                  63,             0.04123,            0.013571,            0.030254,             0.25438,             0.94949,             0.36876,             0.18609,            0.024584,            0.006595,            0.019795,            0.003862,            0.003862,            0.003862
                  64,             0.03572,            0.013953,            0.029895,             0.25438,             0.94949,             0.36876,             0.18609,            0.024584,            0.006595,            0.019795,            0.003763,            0.003763,            0.003763
                  65,            0.035542,            0.013403,            0.029409,             0.50736,             0.98881,             0.56746,             0.32185,            0.019729,           0.0064712,            0.019695,            0.003664,            0.003664,            0.003664
                  66,            0.036181,            0.013149,            0.029872,             0.41839,             0.94949,             0.56497,              0.3526,            0.021229,           0.0063364,            0.019653,            0.003565,            0.003565,            0.003565
                  67,            0.038527,            0.012435,            0.029309,             0.30782,             0.96682,             0.40481,             0.23846,            0.020821,           0.0064546,            0.019559,            0.003466,            0.003466,            0.003466
                  68,            0.037755,            0.015846,            0.029445,             0.30782,             0.96682,             0.40481,             0.23846,            0.020821,           0.0064546,            0.019559,            0.003367,            0.003367,            0.003367
                  69,            0.035332,            0.015131,             0.02973,              0.5121,              0.9829,             0.58919,             0.34838,              0.0173,           0.0062316,             0.01951,            0.003268,            0.003268,            0.003268
                  70,            0.034285,            0.012804,            0.028565,             0.27163,             0.94444,             0.47602,             0.35854,            0.021126,           0.0062623,            0.019312,            0.003169,            0.003169,            0.003169
                  71,            0.041425,            0.013789,            0.029203,             0.50659,                   1,             0.65466,             0.39105,            0.019796,           0.0061246,             0.01928,             0.00307,             0.00307,             0.00307
                  72,            0.030434,            0.013683,            0.028895,             0.50659,                   1,             0.65466,             0.39105,            0.019796,           0.0061246,             0.01928,            0.002971,            0.002971,            0.002971
                  73,            0.032043,            0.012654,            0.028049,              0.5184,             0.97222,             0.67312,             0.51684,            0.015729,           0.0058917,            0.019221,            0.002872,            0.002872,            0.002872
                  74,            0.029719,            0.012963,            0.028609,             0.36856,             0.91667,             0.66884,              0.4718,            0.018795,           0.0061191,            0.019157,            0.002773,            0.002773,            0.002773
                  75,            0.035489,            0.011565,              0.0293,             0.48769,             0.97789,             0.69245,             0.46752,            0.019443,           0.0058994,            0.019085,            0.002674,            0.002674,            0.002674
                  76,             0.03204,            0.012429,            0.027867,             0.48769,             0.97789,             0.69245,             0.46752,            0.019443,           0.0058994,            0.019085,            0.002575,            0.002575,            0.002575
                  77,            0.029592,            0.013666,            0.028707,             0.50665,                   1,             0.71323,             0.52174,            0.017482,           0.0057945,            0.019066,            0.002476,            0.002476,            0.002476
                  78,            0.031294,            0.012522,            0.028374,              0.5063,                   1,             0.70104,             0.50741,            0.017567,           0.0059628,             0.01902,            0.002377,            0.002377,            0.002377
                  79,             0.03473,            0.011941,            0.028187,              0.5074,                   1,             0.70245,              0.4983,            0.015421,           0.0058222,            0.018991,            0.002278,            0.002278,            0.002278
                  80,            0.030235,               0.012,            0.027547,              0.5074,                   1,             0.70245,              0.4983,            0.015421,           0.0058222,            0.018991,            0.002179,            0.002179,            0.002179
                  81,            0.031452,            0.011322,            0.028069,             0.50648,                   1,               0.721,             0.52065,            0.015519,           0.0058514,             0.01892,             0.00208,             0.00208,             0.00208
                  82,            0.028989,            0.011035,             0.02925,             0.50626,                   1,             0.68831,             0.53667,            0.016087,           0.0056489,            0.018871,            0.001981,            0.001981,            0.001981
                  83,            0.029952,            0.013491,            0.028668,             0.50642,                   1,             0.68477,             0.48834,            0.016039,           0.0057227,            0.018813,            0.001882,            0.001882,            0.001882
                  84,            0.028129,            0.012218,            0.028228,             0.50642,                   1,             0.68477,             0.48834,            0.016039,           0.0057227,            0.018813,            0.001783,            0.001783,            0.001783
                  85,             0.02719,             0.01271,            0.026902,             0.50757,                   1,             0.68277,             0.54397,            0.012249,            0.005559,             0.01879,            0.001684,            0.001684,            0.001684
                  86,            0.027442,            0.011515,            0.027209,               0.508,                   1,             0.69746,             0.46602,            0.018737,           0.0057361,            0.018745,            0.001585,            0.001585,            0.001585
                  87,            0.033011,            0.013432,            0.027761,             0.50876,                   1,             0.68921,             0.50054,            0.014798,           0.0056067,            0.018693,            0.001486,            0.001486,            0.001486
                  88,            0.027992,            0.011839,            0.028569,             0.50876,                   1,             0.68921,             0.50054,            0.014798,           0.0056067,            0.018693,            0.001387,            0.001387,            0.001387
                  89,            0.026766,            0.010974,            0.027855,             0.51715,                   1,             0.67149,             0.52409,            0.013065,           0.0055084,            0.018677,            0.001288,            0.001288,            0.001288
                  90,             0.02495,            0.012737,            0.028623,             0.52276,                   1,             0.67674,             0.51246,            0.013177,           0.0055119,            0.018664,            0.001189,            0.001189,            0.001189
                  91,            0.025669,            0.011936,            0.027596,             0.52325,                   1,             0.68087,             0.52991,            0.012319,           0.0054439,            0.018654,             0.00109,             0.00109,             0.00109
                  92,             0.02524,            0.012842,            0.027585,             0.52325,                   1,             0.68087,             0.52991,            0.012319,           0.0054439,            0.018654,            0.000991,            0.000991,            0.000991
                  93,            0.025725,            0.011372,            0.028045,             0.52337,                   1,             0.68428,             0.49682,             0.01396,           0.0054752,            0.018651,            0.000892,            0.000892,            0.000892
                  94,             0.02635,            0.011463,            0.028522,             0.52478,             0.99851,             0.68856,             0.53354,             0.01219,           0.0054196,            0.018657,            0.000793,            0.000793,            0.000793
                  95,            0.023996,            0.012054,            0.028146,             0.52508,             0.99817,             0.70787,             0.55469,            0.011254,           0.0053937,            0.018641,            0.000694,            0.000694,            0.000694
                  96,            0.025475,            0.012083,            0.026737,             0.52508,             0.99817,             0.70787,             0.55469,            0.011254,           0.0053937,            0.018641,            0.000595,            0.000595,            0.000595
                  97,            0.023277,            0.011012,            0.027638,             0.52517,             0.99672,             0.71093,             0.56873,            0.011085,           0.0053607,            0.018651,            0.000496,            0.000496,            0.000496
                  98,            0.024925,            0.011188,             0.02931,              0.5248,             0.99582,              0.7202,             0.57364,            0.011409,           0.0053648,            0.018644,            0.000397,            0.000397,            0.000397
                  99,            0.021935,            0.011056,            0.026073,              0.5248,             0.99744,             0.72246,              0.5796,            0.011186,            0.005352,            0.018635,            0.000298,            0.000298,            0.000298
